time	vout
0.000000000000000e+000	0.000000e+000
1.000007183610608e-009	5.544591e-026
1.016952294803683e-009	-6.144899e-011
1.033897405996759e-009	5.301564e-013
1.050842517189834e-009	1.859374e-010
1.067787628382909e-009	4.947728e-010
1.084732739575985e-009	9.270364e-010
1.101677850769060e-009	1.482728e-009
1.118622961962135e-009	2.161848e-009
1.237245980488134e-009	1.523440e-008
1.474492017540131e-009	6.383964e-008
2.000000000000000e-009	3.656045e-007
4.982244242746318e-009	8.255957e-006
7.964488485492636e-009	2.688814e-005
1.094673272823896e-008	5.626214e-005
1.392897697098527e-008	9.637798e-005
1.691122121373160e-008	1.472356e-004
1.989346545647791e-008	2.088351e-004
2.287570969922422e-008	2.811764e-004
4.377182576179080e-008	1.075346e-003
8.556405788692394e-008	3.617432e-003
1.227119696700744e-007	6.619205e-003
1.645435287931902e-007	1.046142e-002
2.737576674212416e-007	2.058201e-002
4.120960719775050e-007	3.306676e-002
6.074085719775050e-007	5.018145e-002
8.027210719775050e-007	6.668910e-002
9.980335719775050e-007	8.255855e-002
1.193346071977505e-006	9.780797e-002
1.388658571977505e-006	1.124550e-001
1.779283571977505e-006	1.400108e-001
2.169908571977505e-006	1.653586e-001
2.560533571977506e-006	1.886247e-001
3.146471071977506e-006	2.198812e-001
3.732408571977506e-006	2.471017e-001
4.318346071977505e-006	2.706370e-001
4.904283571977504e-006	2.908116e-001
5.490221071977503e-006	3.079253e-001
6.076158571977502e-006	3.222551e-001
6.662096071977501e-006	3.340566e-001
7.248033571977500e-006	3.435657e-001
7.833971071977501e-006	3.510001e-001
8.224596071977502e-006	3.549033e-001
8.615221071977503e-006	3.580292e-001
9.005846071977504e-006	3.604303e-001
9.396471071977505e-006	3.621563e-001
9.787096071977506e-006	3.632541e-001
9.982408571977507e-006	3.635813e-001
1.017772107197751e-005	3.637680e-001
1.037303357197751e-005	3.638192e-001
1.056834607197751e-005	3.637401e-001
1.095897107197751e-005	3.632099e-001
1.134959607197751e-005	3.622149e-001
1.174022107197751e-005	3.607905e-001
1.232615857197751e-005	3.579212e-001
1.291209607197751e-005	3.542649e-001
1.349803357197752e-005	3.499176e-001
1.411187285769180e-005	3.445371e-001
1.472571214340609e-005	3.387731e-001
1.533955142912037e-005	3.326256e-001
1.595339071483465e-005	3.260946e-001
1.656723000054894e-005	3.191800e-001
1.718106928626322e-005	3.118819e-001
1.779490857197751e-005	3.042003e-001
1.863196214340607e-005	2.934848e-001
1.946901571483464e-005	2.827625e-001
2.030606928626321e-005	2.720334e-001
2.114312285769177e-005	2.612975e-001
2.198017642912034e-005	2.505548e-001
2.281723000054891e-005	2.398052e-001
2.365428357197747e-005	2.290488e-001
2.460294428626318e-005	2.172169e-001
2.555160500054889e-005	2.057544e-001
2.650026571483460e-005	1.946612e-001
2.744892642912031e-005	1.839374e-001
2.839758714340602e-005	1.735829e-001
2.934624785769172e-005	1.635977e-001
3.029490857197743e-005	1.539819e-001
3.127147107197743e-005	1.445871e-001
3.224803357197742e-005	1.356193e-001
3.322459607197741e-005	1.270785e-001
3.420115857197741e-005	1.189646e-001
3.517772107197740e-005	1.112778e-001
3.615428357197740e-005	1.040179e-001
3.713084607197739e-005	9.718500e-002
3.813531035769167e-005	9.058012e-002
3.913977464340595e-005	8.432985e-002
4.014423892912023e-005	7.843419e-002
4.114870321483451e-005	7.289313e-002
4.215316750054879e-005	6.770668e-002
4.315763178626307e-005	6.287484e-002
4.416209607197735e-005	5.839761e-002
4.522236392912020e-005	5.399227e-002
4.628263178626305e-005	4.985440e-002
4.734289964340590e-005	4.598400e-002
4.840316750054875e-005	4.238105e-002
4.946343535769160e-005	3.904557e-002
5.052370321483446e-005	3.597754e-002
5.158397107197730e-005	3.317698e-002
5.275584607197730e-005	3.032140e-002
5.392772107197729e-005	2.766332e-002
5.509959607197728e-005	2.520274e-002
5.627147107197727e-005	2.293966e-002
5.744334607197727e-005	2.087407e-002
5.861522107197726e-005	1.900598e-002
5.978709607197725e-005	1.733539e-002
6.107057821483442e-005	1.566389e-002
6.235406035769160e-005	1.412083e-002
6.363754250054877e-005	1.270623e-002
6.492102464340595e-005	1.142009e-002
6.620450678626312e-005	1.026240e-002
6.748798892912030e-005	9.233162e-003
6.877147107197747e-005	8.332380e-003
7.013865857197751e-005	7.461329e-003
7.150584607197755e-005	6.662268e-003
7.287303357197759e-005	5.935196e-003
7.424022107197763e-005	5.280113e-003
7.560740857197767e-005	4.697019e-003
7.697459607197770e-005	4.185914e-003
7.834178357197774e-005	3.746798e-003
7.990428357197779e-005	3.297316e-003
8.146678357197783e-005	2.889521e-003
8.302928357197788e-005	2.523412e-003
8.459178357197792e-005	2.198991e-003
8.615428357197797e-005	1.916257e-003
8.771678357197801e-005	1.675210e-003
8.927928357197806e-005	1.475850e-003
9.131611392912097e-005	1.250117e-003
9.335294428626388e-005	1.049754e-003
9.538977464340681e-005	8.747615e-004
9.742660500054973e-005	7.251386e-004
9.946343535769264e-005	6.008856e-004
1.015002657148356e-004	5.020024e-004
1.035370960719785e-004	4.284892e-004
1.066620960719786e-004	3.358107e-004
1.097870960719786e-004	2.565733e-004
1.129120960719787e-004	1.907768e-004
1.160370960719788e-004	1.384214e-004
1.191620960719789e-004	9.950693e-005
1.222870960719790e-004	7.403349e-005
1.254120960719791e-004	6.200105e-005
1.337826317862650e-004	3.927301e-005
1.421531675005510e-004	2.118316e-005
1.505237032148370e-004	7.731523e-006
1.588942389291229e-004	-1.081917e-006
1.672647746434089e-004	-5.257154e-006
1.756353103576948e-004	-4.794189e-006
1.840058460719808e-004	3.069775e-007
1.894745960719809e-004	1.858338e-007
1.998261585719812e-004	7.170298e-008
2.000000000000000e-004	7.055873e-008
