time	V(vout)	V(n001)
1.596167438250303e-003	4.411695e+000	-5.681350e-001
1.615698688250303e-003	5.162235e+000	-6.645985e-001
1.635229938250303e-003	5.835130e+000	-7.510657e-001
1.654761188250303e-003	6.420259e+000	-8.262362e-001
1.674292438250303e-003	6.908823e+000	-8.889794e-001
1.693823688250303e-003	7.293470e+000	-9.383515e-001
1.713354938250303e-003	7.568419e+000	-9.736099e-001
1.732886188250303e-003	7.734043e+000	-9.942243e-001
1.749405051094904e-003	7.784897e+000	-9.999930e-001
1.764778867646190e-003	7.748550e+000	-9.956918e-001
1.784310117646190e-003	7.596677e+000	-9.768532e-001
1.803841367646190e-003	7.336775e+000	-9.433218e-001
1.823372617646190e-003	6.966522e+000	-8.956020e-001
1.842903867646190e-003	6.491485e+000	-8.344115e-001
1.862435117646190e-003	5.918810e+000	-7.606707e-001
1.881966367646190e-003	5.257110e+000	-6.754887e-001
1.901497617646190e-003	4.516339e+000	-5.801467e-001
1.921028867646190e-003	3.707637e+000	-4.760787e-001
1.940560117646190e-003	2.843169e+000	-3.648501e-001
1.960091367646190e-003	1.935938e+000	-2.481338e-001
1.979622617646190e-003	9.995883e-001	-1.276853e-001
1.999153867646190e-003	4.820412e-002	-5.316381e-003
2.018685117646190e-003	-9.039049e-001	1.171325e-001
2.038216367646190e-003	-1.842418e+000	2.378197e-001
2.057747617646190e-003	-2.753220e+000	3.549298e-001
2.077278867646190e-003	-3.622610e+000	4.667014e-001
2.096810117646190e-003	-4.437513e+000	5.714535e-001
2.116341367646190e-003	-5.185671e+000	6.676103e-001
2.135872617646190e-003	-5.855833e+000	7.537256e-001
2.155403867646190e-003	-6.437917e+000	8.285043e-001
2.174935117646190e-003	-6.923169e+000	8.908214e-001
2.194466367646190e-003	-7.304290e+000	9.397397e-001
2.213997617646190e-003	-7.575549e+000	9.745235e-001
2.233528867646190e-003	-7.736774e+000	9.946496e-001
2.250451477803203e-003	-7.784606e+000	9.999959e-001
2.265735149292713e-003	-7.744253e+000	9.951167e-001
2.285266399292713e-003	-7.586586e+000	9.755502e-001
2.304797649292713e-003	-7.321177e+000	9.413107e-001
2.324328899292713e-003	-6.945651e+000	8.929129e-001
2.343860149292713e-003	-6.465654e+000	8.310849e-001
2.363391399292713e-003	-5.888409e+000	7.567566e-001
2.382922649292713e-003	-5.222596e+000	6.710460e-001
2.402453899292713e-003	-4.478230e+000	5.752422e-001
2.421985149292713e-003	-3.666507e+000	4.707862e-001
2.441516399292713e-003	-2.799637e+000	3.592492e-001
2.461047649292713e-003	-1.890657e+000	2.423088e-001
2.480578899292713e-003	-9.532411e-001	1.217238e-001
2.500110149292713e-003	-1.487303e-003	-6.920884e-004
2.519641399292714e-003	9.502887e-001	-1.230975e-001
2.539172649292714e-003	1.887771e+000	-2.436515e-001
2.558703899292714e-003	2.796860e+000	-3.605407e-001
2.578235149292714e-003	3.663881e+000	-4.720070e-001
2.597766399292714e-003	4.475794e+000	-5.763739e-001
2.617297649292714e-003	5.220387e+000	-6.720716e-001
2.636828899292714e-003	5.886459e+000	-7.576607e-001
2.656360149292714e-003	6.463995e+000	-8.318539e-001
2.675891399292714e-003	6.944306e+000	-8.935353e-001
2.695422649292714e-003	7.320169e+000	-9.417770e-001
2.714953899292714e-003	7.585930e+000	-9.758536e-001
2.734485149292714e-003	7.740602e+000	-9.952523e-001
2.752008459549084e-003	7.782060e+000	-9.999204e-001
2.768270378407419e-003	7.729684e+000	-9.934182e-001
2.787801628407419e-003	7.558512e+000	-9.719257e-001
2.807332878407419e-003	7.278548e+000	-9.358147e-001
2.826864128407419e-003	6.889108e+000	-8.856281e-001
2.846395378407419e-003	6.396048e+000	-8.221208e-001
2.865926628407419e-003	5.806786e+000	-7.462481e-001
2.885457878407419e-003	5.130184e+000	-6.591511e-001
2.904989128407419e-003	4.376419e+000	-5.621399e-001
2.924520378407419e-003	3.556828e+000	-4.566735e-001
2.944051628407420e-003	2.683741e+000	-3.443384e-001
2.963582878407420e-003	1.770287e+000	-2.268241e-001
2.983114128407420e-003	8.302064e-001	-1.058981e-001
3.002645378407420e-003	-1.223609e-001	1.662064e-002
3.022176628407420e-003	-1.073088e+000	1.388894e-001
3.041707878407420e-003	-2.007674e+000	2.590691e-001
3.061239128407420e-003	-2.912063e+000	3.753523e-001
3.080770378407420e-003	-3.772651e+000	4.859897e-001
3.100301628407420e-003	-4.576496e+000	5.893174e-001
3.119832878407420e-003	-5.311505e+000	6.837813e-001
3.139364128407420e-003	-5.966625e+000	7.679604e-001
3.158895378407420e-003	-6.532001e+000	8.405887e-001
3.178426628407420e-003	-6.999130e+000	9.005737e-001
3.197957878407420e-003	-7.360986e+000	9.470133e-001
3.217489128407420e-003	-7.612126e+000	9.792089e-001
3.237020378407420e-003	-7.748774e+000	9.966764e-001
3.256551628407420e-003	-7.769495e+000	9.991528e-001
3.275666975425134e-003	-7.676011e+000	9.870241e-001
3.295198225425134e-003	-7.465672e+000	9.599454e-001
3.314729475425134e-003	-7.143662e+000	9.184284e-001
3.334260725425134e-003	-6.714205e+000	8.630973e-001
3.353791975425134e-003	-6.183760e+000	7.947843e-001
3.373323225425134e-003	-5.560305e+000	7.145171e-001
3.392854475425134e-003	-4.853217e+000	6.235029e-001
3.412385725425134e-003	-4.073133e+000	5.231106e-001
3.431916975425134e-003	-3.231785e+000	4.148503e-001
3.451448225425134e-003	-2.341828e+000	3.003502e-001
3.470979475425134e-003	-1.416648e+000	1.813326e-001
3.490510725425134e-003	-4.701599e-001	5.958755e-002
3.510041975425134e-003	4.833991e-001	-6.305373e-002
3.529573225425134e-003	1.429687e+000	-1.847466e-001
3.549104475425134e-003	2.354471e+000	-3.036608e-001
3.568635725425134e-003	3.243842e+000	-4.180076e-001
3.588166975425134e-003	4.084422e+000	-5.260671e-001
3.607698225425134e-003	4.863568e+000	-6.262142e-001
3.627229475425134e-003	5.569562e+000	-7.169424e-001
3.646760725425134e-003	6.191785e+000	-7.968871e-001
3.666291975425134e-003	6.720877e+000	-8.648459e-001
3.685823225425134e-003	7.148882e+000	-9.197966e-001
3.705354475425134e-003	7.469361e+000	-9.609127e-001
3.724885725425134e-003	7.677494e+000	-9.875758e-001
3.744416975425134e-003	7.771689e+000	-9.993848e-001
3.762924173823277e-003	7.751649e+000	-9.967047e-001
3.782455423823277e-003	7.615464e+000	-9.792796e-001
3.801986673823277e-003	7.366272e+000	-9.471252e-001
3.821517923823277e-003	7.006283e+000	-9.007251e-001
3.841049173823277e-003	6.540914e+000	-8.407773e-001
3.860580423823277e-003	5.977162e+000	-7.681835e-001
3.880111673823277e-003	5.323509e+000	-6.840354e-001
3.899642923823277e-003	4.589785e+000	-5.895988e-001
3.919174173823277e-003	3.787026e+000	-4.862942e-001
3.938705423823277e-003	2.927307e+000	-3.756751e-001
3.958236673823276e-003	2.023558e+000	-2.594056e-001
3.977767923823276e-003	1.089374e+000	-1.392344e-001
3.997299173823275e-003	1.388042e-001	-1.696898e-002
4.016830423823275e-003	-8.138528e-001	1.055517e-001
4.036361673823275e-003	-1.754269e+000	2.264848e-001
4.055892923823274e-003	-2.668298e+000	3.440113e-001
4.075424173823274e-003	-3.542194e+000	4.563636e-001
4.094955423823273e-003	-4.362812e+000	5.618517e-001
4.114486673823273e-003	-5.117809e+000	6.588891e-001
4.134017923823273e-003	-5.795830e+000	7.460161e-001
4.153549173823272e-003	-6.386676e+000	8.219224e-001
4.173080423823272e-003	-6.881461e+000	8.854662e-001
4.192611673823271e-003	-7.272742e+000	9.356918e-001
4.212142923823271e-003	-7.554635e+000	9.718437e-001
4.231674173823270e-003	-7.728549e+000	9.933782e-001
4.247431556707668e-003	-7.783250e+000	9.998698e-001
4.264045287175838e-003	-7.749902e+000	9.961086e-001
4.283576537175838e-003	-7.604231e+000	9.778287e-001
4.303107787175837e-003	-7.348561e+000	9.448415e-001
4.322639037175837e-003	-6.982362e+000	8.976429e-001
4.342170287175836e-003	-6.511141e+000	8.369430e-001
4.361701537175836e-003	-5.941987e+000	7.636546e-001
4.381232787175836e-003	-5.283459e+000	6.788802e-001
4.400764037175835e-003	-4.545462e+000	5.838947e-001
4.420295287175835e-003	-3.739098e+000	4.801270e-001
4.439826537175834e-003	-2.876495e+000	3.691377e-001
4.459357787175834e-003	-1.970626e+000	2.525962e-001
4.478889037175833e-003	-1.035118e+000	1.322555e-001
4.498420287175833e-003	-8.404033e-002	9.925465e-003
4.517951537175833e-003	8.683009e-001	-1.125538e-001
4.537482787175832e-003	1.807582e+000	-2.333402e-001
4.557014037175832e-003	2.719675e+000	-3.506169e-001
4.576545287175831e-003	3.590862e+000	-4.626200e-001
4.596076537175831e-003	4.408038e+000	-5.676649e-001
4.615607787175831e-003	5.158914e+000	-6.641716e-001
4.635139037175830e-003	5.832194e+000	-7.506885e-001
4.654670287175830e-003	6.417753e+000	-8.259144e-001
4.674201537175829e-003	6.906784e+000	-8.887177e-001
4.693732787175829e-003	7.291931e+000	-9.381539e-001
4.713264037175828e-003	7.567400e+000	-9.734794e-001
4.732795287175828e-003	7.733647e+000	-9.941629e-001
4.749257041534661e-003	7.784810e+000	-9.999891e-001
4.764723854410551e-003	7.748657e+000	-9.957237e-001
4.784255104410551e-003	7.597249e+000	-9.769270e-001
4.803786354410550e-003	7.337665e+000	-9.434364e-001
4.823317604410550e-003	6.967715e+000	-8.957557e-001
4.842848854410550e-003	6.492964e+000	-8.346019e-001
4.862380104410549e-003	5.920552e+000	-7.608950e-001
4.881911354410549e-003	5.259090e+000	-6.757435e-001
4.901442604410548e-003	4.518526e+000	-5.804282e-001
4.920973854410548e-003	3.709999e+000	-4.763826e-001
4.940505104410548e-003	2.845671e+000	-3.651719e-001
