Freq.	V(out)
1.00000000000000e+002	(-2.11222144738421e+001dB,-9.06457445463646e+001°)
1.25892541179417e+002	(-1.91225320559842e+001dB,-9.08129245604227e+001°)
1.58489319246111e+002	(-1.71230353421992e+001dB,-9.10233721675252e+001°)
1.99526231496888e+002	(-1.51238328776597e+001dB,-9.12882709883660e+001°)
2.51188643150958e+002	(-1.31250965862914e+001dB,-9.16216810215419e+001°)
3.16227766016838e+002	(-1.11270986766780e+001dB,-9.20412642017035e+001°)
3.98107170553497e+002	(-9.13026988696892e+000dB,-9.25691788017243e+001°)
5.01187233627272e+002	(-7.13529117870243e+000dB,-9.32331676738212e+001°)
6.30957344480193e+002	(-5.14323751824867e+000dB,-9.40678536084409e+001°)
7.94328234724282e+002	(-3.15580191439579e+000dB,-9.51162231882555e+001°)
1.00000000000000e+003	(-1.17564098977296e+000dB,-9.64312081249094e+001°)
1.25892541179417e+003	(7.93100640600439e-001dB,-9.80771237009816e+001°)
1.58489319246111e+003	(2.74401569650678e+000dB,-1.00130437786216e+002°)
1.99526231496888e+003	(4.66733999455233e+000dB,-1.02678839758674e+002°)
2.51188643150958e+003	(6.54852355039859e+000dB,-1.05816797035977e+002°)
3.16227766016838e+003	(8.36662687597249e+000dB,-1.09634851366819e+002°)
3.98107170553498e+003	(1.00930897387651e+001dB,-1.14199514294388e+002°)
5.01187233627273e+003	(1.16920299628440e+001dB,-1.19522575795324e+002°)
6.30957344480194e+003	(1.31237101279431e+001dB,-1.25525524640606e+002°)
7.94328234724282e+003	(1.43521810976897e+001dB,-1.32016373889716e+002°)
1.00000000000000e+004	(1.53554498000690e+001dB,-1.38702924523485e+002°)
1.25892541179417e+004	(1.61331456180485e+001dB,-1.45252220546256e+002°)
1.58489319246111e+004	(1.67066428236501e+001dB,-1.51372352888906e+002°)
1.99526231496888e+004	(1.71115462500239e+001dB,-1.56873225938950e+002°)
2.51188643150958e+004	(1.73874955509378e+001dB,-1.61681463650119e+002°)
3.16227766016838e+004	(1.75703802699338e+001dB,-1.65818403915267e+002°)
3.98107170553498e+004	(1.76887182282006e+001dB,-1.69365178162634e+002°)
5.01187233627273e+004	(1.77632284304411e+001dB,-1.72432536753680e+002°)
6.30957344480194e+004	(1.78079448573798e+001dB,-1.75141432430130e+002°)
7.94328234724283e+004	(1.78316755106068e+001dB,-1.77613306043905e+002°)
1.00000000000000e+005	(1.78392158585574e+001dB,-1.79966923514480e+002°)
