time	V(vout)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
7.142857226329270e-009	-2.590963e-005	8.975979e-005
1.428571445265854e-008	-8.674236e-005	1.795196e-004
2.142857167898781e-008	-1.824982e-004	2.692794e-004
2.857142890531708e-008	-3.131771e-004	3.590392e-004
3.571428613164635e-008	-4.787791e-004	4.487989e-004
4.285714335797562e-008	-6.793042e-004	5.385587e-004
5.000000058430487e-008	-9.147524e-004	6.283185e-004
1.000000011686097e-007	-3.144517e-003	1.256637e-003
2.000000023372195e-007	-9.771527e-003	2.513273e-003
4.000000046744390e-007	-2.677544e-002	5.026543e-003
8.000000093488779e-007	-6.482716e-002	1.005305e-002
3.200000037395512e-006	-3.000341e-001	4.020968e-002
1.280000014958205e-005	-1.239100e+000	1.606762e-001
2.560000029916409e-005	-2.479625e+000	3.203137e-001
4.513125029916410e-005	-4.337530e+000	5.595659e-001
6.466250029916410e-005	-6.132882e+000	7.904016e-001
8.419375029916411e-005	-7.835985e+000	1.009349e+000
1.037250002991641e-004	-9.421209e+000	1.213115e+000
1.232562502991641e-004	-1.090073e+001	1.398634e+000
1.256976565491641e-004	-1.107435e+001	1.420399e+000
1.305804690491641e-004	-1.140441e+001	1.462921e+000
1.365138352949616e-004	-1.179555e+001	1.512735e+000
1.374733931539004e-004	-1.185484e+001	1.520595e+000
1.388947876597152e-004	-1.193491e+001	1.532137e+000
1.389780169198265e-004	-1.193895e+001	1.532809e+000
1.391444754400491e-004	-1.194583e+001	1.534151e+000
1.394773924804942e-004	-1.195795e+001	1.536832e+000
1.401432265613845e-004	-1.197724e+001	1.542173e+000
1.406381073559353e-004	-1.198678e+001	1.546125e+000
1.410725743224621e-004	-1.199145e+001	1.549583e+000
1.413759262946056e-004	-1.199327e+001	1.551990e+000
1.417555208922323e-004	-1.199460e+001	1.554994e+000
1.421442631405888e-004	-1.199545e+001	1.558062e+000
1.426291379877587e-004	-1.199609e+001	1.561875e+000
1.432927320300206e-004	-1.199662e+001	1.567070e+000
1.440721112358061e-004	-1.199699e+001	1.573137e+000
1.451856411450055e-004	-1.199728e+001	1.581739e+000
1.466938364777700e-004	-1.199751e+001	1.593266e+000
1.488753537744196e-004	-1.199768e+001	1.609687e+000
1.520505134387961e-004	-1.199780e+001	1.633045e+000
1.568859637863474e-004	-1.199789e+001	1.667366e+000
1.643719710760768e-004	-1.199795e+001	1.717453e+000
1.770752765573438e-004	-1.199798e+001	1.793701e+000
1.966065265573438e-004	-1.199798e+001	1.888504e+000
2.161377765573438e-004	-1.199798e+001	1.954903e+000
2.356690265573437e-004	-1.199798e+001	1.991898e+000
2.552002765573437e-004	-1.199798e+001	1.998932e+000
2.734671253240559e-004	-1.199798e+001	1.978298e+000
2.929983753240560e-004	-1.199798e+001	1.927453e+000
3.125296253240560e-004	-1.199798e+001	1.847617e+000
3.320608753240560e-004	-1.199792e+001	1.739990e+000
3.515921253240560e-004	-1.199680e+001	1.606193e+000
3.590827389159236e-004	-1.196428e+001	1.548348e+000
3.620120591280980e-004	-1.188759e+001	1.524787e+000
3.642404324829771e-004	-1.176719e+001	1.506517e+000
3.659196296298273e-004	-1.165814e+001	1.492555e+000
3.676971221947289e-004	-1.154086e+001	1.477594e+000
3.709471185115779e-004	-1.132306e+001	1.449764e+000
3.748295272695052e-004	-1.105568e+001	1.415727e+000
3.825943447853596e-004	-1.049641e+001	1.345148e+000
3.979333445483607e-004	-9.321765e+000	1.196481e+000
4.174645945483607e-004	-7.719514e+000	9.913038e-001
4.369958445483607e-004	-6.009027e+000	7.712162e-001
4.565270945483607e-004	-4.208163e+000	5.395287e-001
4.760583445483607e-004	-2.344008e+000	2.997263e-001
4.955895945483607e-004	-4.445990e-001	5.541570e-002
5.151208445483607e-004	1.461496e+000	-1.897284e-001
5.346520945483607e-004	3.345607e+000	-4.320188e-001
5.541833445483607e-004	5.179394e+000	-6.678113e-001
5.737145945483608e-004	6.935275e+000	-8.935592e-001
5.932458445483608e-004	8.586834e+000	-1.105867e+000
6.127770945483608e-004	1.010919e+001	-1.301542e+000
6.323083445483608e-004	1.151861e+001	-1.477640e+000
6.341179030577354e-004	1.164054e+001	-1.492869e+000
6.377370200764845e-004	1.187380e+001	-1.522745e+000
6.378792587123117e-004	1.188271e+001	-1.523903e+000
6.381637359839662e-004	1.189936e+001	-1.526216e+000
6.386011595202586e-004	1.192201e+001	-1.529762e+000
6.390673321407445e-004	1.194250e+001	-1.533529e+000
6.395593504059908e-004	1.196072e+001	-1.537491e+000
6.401123220437688e-004	1.197681e+001	-1.541926e+000
6.405986841534223e-004	1.198610e+001	-1.545811e+000
