Freq.	V(out)
1.00000000000000e+002	(-2.11644890130844e+001dB,-9.07403889021875e+001°)
1.25892541179417e+002	(-1.91648108966801e+001dB,-9.09320750250228e+001°)
1.58489319246111e+002	(-1.71653210013718e+001dB,-9.11733742737191e+001°)
1.99526231496888e+002	(-1.51661293462322e+001dB,-9.14771135655665e+001°)
2.51188643150958e+002	(-1.31674101937439e+001dB,-9.18594219619612e+001°)
3.16227766016838e+002	(-1.11694394653320e+001dB,-9.23405667405374e+001°)
3.98107170553497e+002	(-9.17265379983732e+000dB,-9.29459871942603e+001°)
5.01187233627272e+002	(-7.17774355139112e+000dB,-9.37075588914364e+001°)
6.30957344480193e+002	(-5.18579867407314e+000dB,-9.46651116640867e+001°)
7.94328234724282e+002	(-3.19853618306416e+000dB,-9.58681957389037e+001°)
1.00000000000000e+003	(-1.21865137345708e+000dB,-9.73780222449981e+001°)
1.25892541179417e+003	(7.49648314561718e-001dB,-9.92693608327357e+001°)
1.58489319246111e+003	(2.69985231732624e+000dB,-1.01631898983435e+002°)
1.99526231496888e+003	(4.62202396113823e+000dB,-1.04570073337575e+002°)
2.51188643150958e+003	(6.50131972384760e+000dB,-1.08199610296263e+002°)
3.16227766016838e+003	(8.31629105971693e+000dB,-1.12638073215775e+002°)
3.98107170553498e+003	(1.00374831608044e+001dB,-1.17986275057333e+002°)
5.01187233627273e+003	(1.16274417572580e+001dB,-1.24299237954730e+002°)
6.30957344480194e+003	(1.30437196053637e+001dB,-1.31552031885912e+002°)
7.94328234724282e+003	(1.42458754260470e+001dB,-1.39617206799338e+002°)
1.00000000000000e+004	(1.52048357342454e+001dB,-1.48277321333766e+002°)
1.25892541179417e+004	(1.59095931458068e+001dB,-1.57281960924871e+002°)
1.58489319246111e+004	(1.63661190144329e+001dB,-1.66424422778066e+002°)
1.99526231496888e+004	(1.65884111173853e+001dB,-1.75591893634225e+002°)
2.51188643150958e+004	(1.65871356350805e+001dB,1.75239716119467e+002°)
3.16227766016838e+004	(1.63622216724832e+001dB,1.66059015916881e+002°)
3.98107170553498e+004	(1.59029066648828e+001dB,1.56890171281954e+002°)
5.01187233627273e+004	(1.51952127858156e+001dB,1.47845707154431e+002°)
6.30957344480194e+004	(1.42333154528441e+001dB,1.39130941138732e+002°)
7.94328234724283e+004	(1.30284277499582e+001dB,1.30993153524161e+002°)
1.00000000000000e+005	(1.16097828429735e+001dB,1.23644702025846e+002°)
