time	V(vout)	V(n001)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.428571445265854e-008	-1.112750e-005	1.795196e-005
2.857142890531708e-008	-3.351980e-005	3.590392e-005
4.285714335797562e-008	-6.717691e-005	5.385587e-005
5.714285781063416e-008	-1.120988e-004	7.180783e-005
7.142857226329269e-008	-1.682855e-004	8.975979e-005
8.571428671595124e-008	-2.357371e-004	1.077117e-004
1.000000011686097e-007	-3.144534e-004	1.256637e-004
2.000000023372195e-007	-9.771592e-004	2.513274e-004
4.000000046744390e-007	-2.677560e-003	5.026543e-004
8.000000093488779e-007	-6.482741e-003	1.005305e-003
4.342857193608196e-006	-4.124640e-002	5.460259e-003
7.885714377867513e-006	-7.592122e-002	9.907659e-003
1.142857156212683e-005	-1.105072e-001	1.434751e-002
1.497142874638615e-005	-1.450043e-001	1.877980e-002
1.851428593064547e-005	-1.794126e-001	2.320454e-002
2.205714311490479e-005	-2.137321e-001	2.762173e-002
2.560000029916409e-005	-2.479627e-001	3.203137e-002
4.513125029916410e-005	-4.337535e-001	5.595659e-002
6.466250029916410e-005	-6.132894e-001	7.904017e-002
8.419375029916411e-005	-7.836007e-001	1.009349e-001
1.037250002991641e-004	-9.421260e-001	1.213115e-001
1.232562502991641e-004	-1.086481e+000	1.398634e-001
1.427875002991641e-004	-1.214494e+000	1.563117e-001
1.623187502991641e-004	-1.324240e+000	1.704089e-001
1.818500002991641e-004	-1.414068e+000	1.819430e-001
2.013812502991641e-004	-1.482628e+000	1.907405e-001
2.209125002991641e-004	-1.528887e+000	1.966691e-001
2.404437502991640e-004	-1.552150e+000	1.996396e-001
2.599750002991640e-004	-1.552068e+000	1.996073e-001
2.795062502991641e-004	-1.528641e+000	1.965728e-001
2.990375002991641e-004	-1.482222e+000	1.905816e-001
3.185687502991641e-004	-1.413509e+000	1.817239e-001
3.381000002991641e-004	-1.323535e+000	1.701329e-001
3.576312502991641e-004	-1.213654e+000	1.559829e-001
3.771625002991641e-004	-1.085519e+000	1.394868e-001
3.966937502991642e-004	-9.410564e-001	1.208927e-001
4.162250002991642e-004	-7.824395e-001	1.004803e-001
4.357562502991642e-004	-6.120540e-001	7.855652e-002
4.552875002991642e-004	-4.324626e-001	5.545119e-002
4.748187502991642e-004	-2.463666e-001	3.151183e-002
4.943500002991642e-004	-5.656495e-002	7.098508e-003
5.138812502991642e-004	1.340875e-001	-1.742159e-002
5.334125002991642e-004	3.227230e-001	-4.167964e-002
5.529437502991642e-004	5.065046e-001	-6.531080e-002
5.724750002991643e-004	6.826679e-001	-8.795962e-002
5.920062502991643e-004	8.485631e-001	-1.092854e-001
6.115375002991643e-004	1.001695e+000	-1.289675e-001
6.310687502991643e-004	1.139761e+000	-1.467098e-001
6.506000002991643e-004	1.260684e+000	-1.622454e-001
6.701312502991643e-004	1.362644e+000	-1.753407e-001
6.896625002991644e-004	1.444110e+000	-1.857987e-001
7.091937502991644e-004	1.503854e+000	-1.934622e-001
7.287250002991644e-004	1.542006e+000	-1.982158e-001
7.448206086292526e-004	1.555513e+000	-1.998941e-001
7.630743418223780e-004	1.550287e+000	-1.993255e-001
7.826055918223780e-004	1.522796e+000	-1.958176e-001
8.021368418223780e-004	1.472784e+000	-1.893644e-001
8.216680918223781e-004	1.400619e+000	-1.800630e-001
8.411993418223781e-004	1.307388e+000	-1.680532e-001
8.607305918223781e-004	1.194493e+000	-1.535158e-001
8.802618418223781e-004	1.063631e+000	-1.366694e-001
8.997930918223781e-004	9.167718e-001	-1.177673e-001
9.193243418223781e-004	7.561231e-001	-9.709390e-002
9.388555918223782e-004	5.841016e-001	-7.496011e-002
9.583868418223782e-004	4.032947e-001	-5.169886e-002
9.779180918223782e-004	2.164218e-001	-2.766000e-002
9.974493418223782e-004	2.629382e-002	-3.205114e-003
1.016980591822378e-003	-1.642297e-001	2.129798e-002
1.036511841822378e-003	-3.522830e-001	4.548074e-002
1.056043091822378e-003	-5.350377e-001	6.897941e-002
1.075574341822378e-003	-7.097449e-001	9.144058e-002
1.095105591822378e-003	-8.737769e-001	1.125264e-001
1.114636841822378e-003	-1.024667e+000	1.319197e-001
