freq,v
-0.9915598290598291, 0.05530631188118784
-0.9861400462962964, 0.11850849147414744
-0.9807202635327636, 0.18903542698019793
-0.9753004807692308, 0.25035409790979113
-0.9698806980056981, 0.3102078176567655
-0.9650028935185186, 0.36319719471947165
-0.9595831107549858, 0.4184467821782176
-0.9541633279914531, 0.48022586633663344
-0.9487435452279203, 0.5480321782178219
-0.9433237624643875, 0.607299917491749
-0.9379039797008548, 0.6665676567656762
-0.932484196937322, 0.7213149752475245
-0.9270644141737893, 0.7815872524752474
-0.9221866096866098, 0.8281727000825083
-0.9173088051994303, 0.8810365099009898
-0.9113470441595443, 0.9405553836633662
-0.9053852831196582, 0.9950515676567657
-0.8994235220797722, 1.0535659034653464
-0.8929197827635329, 1.1138381806930693
-0.8864160434472935, 1.1707619980748072
-0.879370325854701, 1.2345621169259782
-0.8728665865384616, 1.2964129537953795
-0.8663628472222222, 1.3475726367279584
-0.8587751513532764, 1.4035397512965582
-0.8506454772079772, 1.4591481023102308
-0.8414318465099716, 1.5196994178584524
-0.8327601940883191, 1.573234912776992
-0.8235465633903134, 1.6259014026402638
-0.8121650195868947, 1.6794615399039905
-0.8002414975071226, 1.7312865661566157
-0.7883179754273505, 1.772837908790879
-0.7763944533475784, 1.8029740474047404
-0.7644709312678064, 1.8196402452745275
-0.7525474091880342, 1.8244346309630963
-0.7406238871082622, 1.8198685493549354
-0.7287003650284901, 1.8205534615961596
-0.716776842948718, 1.795211708670867
-0.7048533208689459, 1.7680435231023102
-0.6929297987891738, 1.7207845784578455
-0.6820902332621084, 1.6767979922992298
-0.6734185808404559, 1.6338659535596416
-0.6647469284188035, 1.5819249633296664
-0.6549913194444446, 1.5247221076274293
-0.6468616452991454, 1.4737976141364137
-0.6398159277065527, 1.422912983262612
-0.6316862535612536, 1.3630891604785478
-0.6240985576923077, 1.308467409240924
-0.6175948183760684, 1.2444281146864686
-0.6116330573361823, 1.1994750412541253
-0.6056712962962963, 1.14188153190319
-0.5997095352564104, 1.0889758663366336
-0.5937477742165242, 1.0259411097359736
-0.587244034900285, 0.9677616199119914
-0.5818242521367523, 0.9179532797029704
-0.5769464476495727, 0.8654661716171614
-0.57152666488604, 0.8127279290429041
-0.5661068821225073, 0.7534601897689766
-0.5601451210826212, 0.6948621424642463
-0.5547253383190884, 0.6329156353135312
-0.5487635772792023, 0.5679794318717586
-0.5433437945156696, 0.5098597359735972
-0.5384659900284902, 0.44791322882288176
-0.5330462072649573, 0.39119869018151787
-0.5276264245014246, 0.33406559405940595
-0.5211226851851852, 0.25872524752475234
-0.5157029024216525, 0.20221998762376225
-0.5108250979344731, 0.14069203795379526
-0.5054053151709402, 0.07941522277227664
-0.5005275106837608, 0.02203099216171589
-0.4956497061965812, -0.03811571782178236
-0.49077190170940177, -0.08972385519802017
-0.48535211894586905, -0.15146108360836097
-0.4799323361823362, -0.213407590759076
-0.47559650997151004, -0.27116852310231065
-0.4707187054843306, -0.32591584158415854
-0.46529892272079776, -0.3851835808580861
-0.45987913995726504, -0.4464603960396043
-0.4544593571937323, -0.5087417491749173
-0.4484975961538462, -0.5691814493949399
-0.4430778133903135, -0.6302908415841588
-0.43820000890313393, -0.6805177392739274
-0.4327802261396012, -0.7407900165016503
-0.4273604433760685, -0.7925237211221123
-0.4213986823361824, -0.8550562087458751
-0.4148949430199431, -0.9195140607810788
-0.4094751602564103, -0.9781121080858091
-0.4035133992165243, -1.0360524222065068
-0.39646768162393176, -1.0953082026952696
-0.3899639423076924, -1.1610217271727175
-0.3840021812678064, -1.212420585808581
-0.37695646367521374, -1.2785317398927392
-0.3682848112535614, -1.3422571163366337
-0.36069711538461546, -1.3982042995966273
-0.3536513977920229, -1.4500655645921734
-0.34552172364672373, -1.5064362881600664
-0.33685007122507127, -1.5610580393976905
-0.3265524839743591, -1.6215871587158723
-0.31571291844729354, -1.6741731985698571
-0.304873352920228, -1.7218126500150017
-0.2929498308404559, -1.766103641614162
-0.2810263087606838, -1.796924692469247
-0.291027866809118, -1.8197551005100516
-0.2571792646011397, -1.8282023514851486
-0.24525574252136761, -1.8282023514851486
-0.23333222044159552, -1.8218098372337241
-0.22140869836182342, -1.8051436393639362
-0.20948517628205132, -1.7729527640264031
-0.19864561075498588, -1.739747203887056
-0.18780604522792033, -1.6941878562856294
-0.17696647970085477, -1.643758021635498
-0.16721087072649576, -1.589903625779245
-0.1585392183048434, -1.5386801626591238
-0.15040954415954422, -1.4844620204207928
-0.14173789173789186, -1.4229340707508253
-0.13415019586894594, -1.371472428492849
-0.12764645655270668, -1.314213765126513
-0.1211427172364673, -1.26482398239824
-0.11409699964387476, -1.2068238743517217
-0.10759326032763539, -1.145116542904291
-0.1016314992877494, -1.093215415291529
-0.09512775997151002, -1.0341988105060507
-0.08862402065527075, -0.9626254812981303
-0.08320423789173803, -0.9027717615511555
-0.07724247685185193, -0.851647954974069
-0.07073873753561266, -0.7809715346534656
-0.06477697649572656, -0.7244662747524755
-0.05827323717948729, -0.6470331408140817
-0.05231147613960119, -0.588100247524753
-0.046891693376068466, -0.528832508250825
-0.04201388888888902, -0.4720761138613865
-0.03767806267806284, -0.42624406971947204
-0.0322582799145299, -0.3640882838283832
-0.026296518874644015, -0.2977887788778877
-0.021418714387464455, -0.24040454826732693
-0.016540909900284895, -0.17724422442244236
-0.011121127136752174, -0.12299917491749213
-0.0024494747150998197, -0.0058030803080306725
-0.006785300925925997, -0.07528362211221129
0.005680199430199373, 0.07853625206270598
0.010558003917378933, 0.13165119636963718
0.015977786680911654, 0.187905321782178
