Freq.	V(out)
1.00000000000000e+002	-2.07508385139028e+001
1.25892541179417e+002	-1.87511846510451e+001
1.58489319246111e+002	-1.67517331849485e+001
1.99526231496888e+002	-1.47526024107219e+001
2.51188643150958e+002	-1.27539796845094e+001
3.16227766016838e+002	-1.07561616221749e+001
3.98107170553497e+002	-8.75961751665440e+000
5.01187233627272e+002	-6.76508911404058e+000
6.30957344480193e+002	-4.77374691709308e+000
7.94328234724282e+002	-2.78743335755053e+000
1.00000000000000e+003	-8.09036948663485e-001
1.25892541179417e+003	1.15694226136027e+000
1.58489319246111e+003	3.10356291131621e+000
1.99526231496888e+003	5.02028357649537e+000
2.51188643150958e+003	6.89148081308649e+000
3.16227766016838e+003	8.69485760867253e+000
3.98107170553498e+003	1.04003900858480e+001
5.01187233627273e+003	1.19710903670426e+001
6.30957344480194e+003	1.33672283217949e+001
7.94328234724282e+003	1.45546841559391e+001
1.00000000000000e+004	1.55151034228840e+001
1.25892541179417e+004	1.62524427292672e+001
1.58489319246111e+004	1.67914777264403e+001
1.99526231496888e+004	1.71693298872201e+001
2.51188643150958e+004	1.74254158623055e+001
3.16227766016838e+004	1.75944189247888e+001
3.98107170553498e+004	1.77033878223534e+001
5.01187233627273e+004	1.77717229281554e+001
6.30957344480194e+004	1.78124335832305e+001
7.94328234724283e+004	1.78335936794851e+001
1.00000000000000e+005	1.78394978763728e+001
