Freq.	V(out)
1.00000000000000e+002	-2.11644045334181e+001
1.25892541179417e+002	-1.91646770130979e+001
1.58489319246111e+002	-1.71651088294460e+001
1.99526231496888e+002	-1.51657931247374e+001
2.51188643150958e+002	-1.31668774399725e+001
3.16227766016838e+002	-1.11685954122055e+001
3.98107170553497e+002	-9.17131683031295e+000
5.01187233627272e+002	-7.17562651457234e+000
6.30957344480193e+002	-5.18244819909051e+000
7.94328234724282e+002	-3.19323804843981e+000
1.00000000000000e+003	-1.21028435795716e+000
1.25892541179417e+003	7.62834691046800e-001
1.58489319246111e+003	2.72056747036124e+000
1.99526231496888e+003	4.65440564566393e+000
2.51188643150958e+003	6.55155785288190e+000
3.16227766016838e+003	8.39336076435903e+000
3.98107170553498e+003	1.01538138631107e+001
5.01187233627273e+003	1.17991717742048e+001
6.30957344480194e+003	1.32901282322981e+001
7.94328234724282e+003	1.45880088927329e+001
1.00000000000000e+004	1.56644285188753e+001
1.25892541179417e+004	1.65103617640285e+001
1.58489319246111e+004	1.71389577230176e+001
1.99526231496888e+004	1.75799377481575e+001
2.51188643150958e+004	1.78691883151655e+001
3.16227766016838e+004	1.80391198619689e+001
3.98107170553498e+004	1.81127105621801e+001
5.01187233627273e+004	1.81009197649532e+001
6.30957344480194e+004	1.80019465457731e+001
7.94328234724283e+004	1.78013275454209e+001
1.00000000000000e+005	1.74730483101451e+001
